"StoryType";"Pag";"N";"Url";"Schema";"Www";"Dominio";"Percorso";"Frammento";"Lunghezza";"tinyurl"
2;227;1;"https://it.wikipedia.org/wiki/Abruzzo_Ultra";"https://";"";"it.wikipedia.org";"wiki/Abruzzo_Ultra";"";43;
2;228;1;"https://it.wikipedia.org/wiki/Provincia_di_Napoli_(1806-1860)";"https://";"";"it.wikipedia.org";"wiki/Provincia_di_Napoli_(1806-1860)";"";61;
2;229;1;"http://didamatica2010.di.uniroma1.it/lavori/55-411-1-DR.pdf";"http://";"";"didamatica2010.di.uniroma1.it";"lavori/55-411-1-DR.pdf";"";59;
2;230;1;"tinyurl.com/36svcst2";"https://";"";"tinyurl.com";"36svcst2";"";20;
2;231;1;"https://books.google.it/books?id=XRM5AAAAcAAJ";"https://";"";"books.google.it";"books?id=XRM5AAAAcAAJ";"";45;
2;232;1;"https://www.istat.it/it/files/2018/07/Struttura-e-dinamica-delle-unità-amministrative.pdf";"https://";"www";"istat.it";"it/files/2018/07/Struttura-e-dinamica-delle-unità-amministrative.pdf";"";89;
2;233;1;"https://it.wikipedia.org/wiki/Regionalismo_(Italia)";"https://";"";"it.wikipedia.org";"wiki/Regionalismo_(Italia)";"";51;
2;234;1;"tinyurl.com/53m7ykwz";"https://";"";"tinyurl.com";"53m7ykwz";"";20;
2;235;1;"https://fr.wikipedia.org/wiki/Région_française";"https://";"";"fr.wikipedia.org";"wiki/Région_française";"";46;
2;236;1;"https://it.wikipedia.org/wiki/Regioni_della_Francia";"https://";"";"it.wikipedia.org";"wiki/Regioni_della_Francia";"";51;
2;237;1;"tinyurl.com/38vuzbev";"https://";"";"tinyurl.com";"38vuzbev";"";20;
2;238;1;"tinyurl.com/mrxbvaev";"https://";"";"tinyurl.com";"mrxbvaev";"";20;
2;239;1;"tinyurl.com/mrymj2en";"https://";"";"tinyurl.com";"mrymj2en";"";20;
2;240;1;"tinyurl.com/2vuf23bd";"https://";"";"tinyurl.com";"2vuf23bd";"";20;
2;241;1;"tinyurl.com/2s49bckr";"https://";"";"tinyurl.com";"2s49bckr";"";20;
2;242;1;"https://it.wikipedia.org/wiki/Regno_Lombardo-Veneto";"https://";"";"it.wikipedia.org";"wiki/Regno_Lombardo-Veneto";"";51;
2;243;1;"https://it.wikipedia.org/wiki/Latino_volgare";"https://";"";"it.wikipedia.org";"wiki/Latino_volgare";"";44;
2;244;1;"https://gutenberg.org/ebooks/17124";"https://";"";"gutenberg.org";"ebooks/17124";"";34;
2;245;1;"https://it.wikipedia.org/wiki/Samuel_Butler_(1774-1839)";"https://";"";"it.wikipedia.org";"wiki/Samuel_Butler_(1774-1839)";"";55;
2;246;1;"https://it.wikipedia.org/wiki/Thema";"https://";"";"it.wikipedia.org";"wiki/Thema";"";35;
2;247;1;"https://it.wikipedia.org/wiki/Italia_medievale";"https://";"";"it.wikipedia.org";"wiki/Italia_medievale";"";46;
2;248;1;"tinyurl.com/3skp2pzn";"https://";"";"tinyurl.com";"3skp2pzn";"";20;
2;249;1;"https://books.google.it/books?id=RyVIZnPdkgAC";"https://";"";"books.google.it";"books?id=RyVIZnPdkgAC";"";45;
2;250;1;"https://it.wikipedia.org/wiki/Antichi_Stati_italiani";"https://";"";"it.wikipedia.org";"wiki/Antichi_Stati_italiani";"";52;
2;251;1;"https://it.wikipedia.org/wiki/Suddivisione_amministrativa_del_Regno_di_Sardegna";"https://";"";"it.wikipedia.org";"wiki/Suddivisione_amministrativa_del_Regno_di_Sardegna";"";79;
2;252;1;"https://it.wikipedia.org/wiki/Regno_di_Sardegna";"https://";"";"it.wikipedia.org";"wiki/Regno_di_Sardegna";"";47;
2;253;1;"https://de.wikipedia.org/wiki/Königreich_Lombardo-Venetien";"https://";"";"de.wikipedia.org";"wiki/Königreich_Lombardo-Venetien";"";58;
2;254;1;"tinyurl.com/mtjukxvz";"https://";"";"tinyurl.com";"mtjukxvz";"";20;
2;255;1;"http://stats-1.archeogr.unisi.it/repetti/";"http://";"";"stats-1.archeogr.unisi.it";"repetti/";"";41;
